borough,year,month,station_name,latitude,longitude,TMAX,TMIN,TAVG,PRCP,SNOW,TAVG_calc
Bronx,2009,5,NY CITY CENTRAL PARK,40.7789,-73.9692,21.40967741935484,12.458064516129031,,131.3,0.0,16.933870967741935
Bronx,2009,6,NY CITY CENTRAL PARK,40.7789,-73.9692,23.6,15.813333333333333,,255.2,0.0,19.706666666666667
Bronx,2009,7,NY CITY CENTRAL PARK,40.7789,-73.9692,26.893548387096775,18.274193548387096,,180.5,0.0,22.583870967741937
Bronx,2009,8,NY CITY CENTRAL PARK,40.7789,-73.9692,28.02258064516129,20.519354838709678,,107.4,0.0,24.270967741935486
Bronx,2009,9,NY CITY CENTRAL PARK,40.7789,-73.9692,22.793333333333333,15.333333333333334,,57.6,0.0,19.063333333333333
Bronx,2009,10,NY CITY CENTRAL PARK,40.7789,-73.9692,16.190322580645162,9.32258064516129,,141.9,0.0,12.756451612903227
Bronx,2009,11,NY CITY CENTRAL PARK,40.7789,-73.9692,13.673333333333334,7.59,,41.0,0.0,10.631666666666668
Bronx,2009,12,NY CITY CENTRAL PARK,40.7789,-73.9692,5.480645161290322,-1.1419354838709677,,184.6,315.0,2.1693548387096775
Bronx,2010,1,NY CITY CENTRAL PARK,40.7789,-73.9692,3.370967741935484,-2.7935483870967746,,53.0,53.0,0.2887096774193547
Bronx,2010,2,NY CITY CENTRAL PARK,40.7789,-73.9692,3.2607142857142857,-2.017857142857143,,170.1,937.0,0.6214285714285714
Bronx,2010,3,NY CITY CENTRAL PARK,40.7789,-73.9692,12.780645161290321,5.212903225806452,,271.5,0.0,8.996774193548386
Bronx,2010,4,NY CITY CENTRAL PARK,40.7789,-73.9692,19.60666666666667,9.129999999999999,,76.0,0.0,14.368333333333334
Bronx,2010,5,NY CITY CENTRAL PARK,40.7789,-73.9692,23.54516129032258,13.422580645161291,,76.5,0.0,18.483870967741936
Bronx,2010,6,NY CITY CENTRAL PARK,40.7789,-73.9692,28.416666666666668,18.98,,56.0,0.0,23.698333333333334
Bronx,2010,7,NY CITY CENTRAL PARK,40.7789,-73.9692,32.274193548387096,22.541935483870965,,66.0,0.0,27.40806451612903
Bronx,2010,8,NY CITY CENTRAL PARK,40.7789,-73.9692,29.58709677419355,20.874193548387098,,105.2,0.0,25.230645161290326
Bronx,2010,9,NY CITY CENTRAL PARK,40.7789,-73.9692,25.956666666666667,17.44333333333333,,93.19999999999999,0.0,21.7
Bronx,2010,10,NY CITY CENTRAL PARK,40.7789,-73.9692,18.358064516129033,10.67741935483871,,124.8,0.0,14.517741935483873
Bronx,2010,11,NY CITY CENTRAL PARK,40.7789,-73.9692,11.986666666666668,5.663333333333333,,54.6,0.0,8.825000000000001
Bronx,2010,12,NY CITY CENTRAL PARK,40.7789,-73.9692,3.148387096774193,-2.296774193548387,,107.8,511.0,0.425806451612903
Bronx,2011,1,NY CITY CENTRAL PARK,40.7789,-73.9692,1.525806451612903,-4.1,,125.5,913.0,-1.2870967741935484
Bronx,2011,2,NY CITY CENTRAL PARK,40.7789,-73.9692,6.517857142857143,-2.042857142857143,,88.1,122.0,2.2375
Bronx,2011,3,NY CITY CENTRAL PARK,40.7789,-73.9692,9.964516129032258,1.5,,157.29999999999998,25.0,5.732258064516129
Bronx,2011,4,NY CITY CENTRAL PARK,40.7789,-73.9692,16.993333333333332,7.77,,136.1,0.0,12.381666666666666
Bronx,2011,5,NY CITY CENTRAL PARK,40.7789,-73.9692,22.42258064516129,13.674193548387096,,129.8,0.0,18.048387096774192
Bronx,2011,6,NY CITY CENTRAL PARK,40.7789,-73.9692,26.793333333333333,18.006666666666668,,82.7,0.0,22.4
Bronx,2011,7,NY CITY CENTRAL PARK,40.7789,-73.9692,31.6,22.01290322580645,,77.0,0.0,26.806451612903224
Bronx,2011,8,NY CITY CENTRAL PARK,40.7789,-73.9692,28.27741935483871,19.796774193548387,,481.3,0.0,24.03709677419355
Bronx,2011,9,NY CITY CENTRAL PARK,40.7789,-73.9692,24.573333333333334,17.686666666666667,,238.6,0.0,21.130000000000003
Bronx,2011,10,NY CITY CENTRAL PARK,40.7789,-73.9692,17.648387096774194,10.23225806451613,,154.7,74.0,13.940322580645162
Bronx,2011,11,NY CITY CENTRAL PARK,40.7789,-73.9692,14.74,7.346666666666667,,77.4,0.0,11.043333333333333
Bronx,2011,12,NY CITY CENTRAL PARK,40.7789,-73.9692,9.85483870967742,2.703225806451613,,101.8,0.0,6.279032258064516
Bronx,2012,1,NY CITY CENTRAL PARK,40.7789,-73.9692,6.793548387096774,-0.8741935483870968,,82.10000000000001,109.0,2.9596774193548385
Bronx,2012,2,NY CITY CENTRAL PARK,40.7789,-73.9692,8.241379310344827,1.6241379310344828,,34.9,5.0,4.932758620689655
Bronx,2012,3,NY CITY CENTRAL PARK,40.7789,-73.9692,15.109677419354838,5.929032258064517,,24.4,0.0,10.519354838709678
Bronx,2012,4,NY CITY CENTRAL PARK,40.7789,-73.9692,17.576666666666664,7.71,,90.5,0.0,12.643333333333333
Bronx,2012,5,NY CITY CENTRAL PARK,40.7789,-73.9692,22.225806451612904,14.558064516129033,,136.5,0.0,18.391935483870967
Bronx,2012,6,NY CITY CENTRAL PARK,40.7789,-73.9692,26.09,17.226666666666667,,75.6,0.0,21.65833333333333
Bronx,2012,7,NY CITY CENTRAL PARK,40.7789,-73.9692,30.700000000000003,21.251612903225805,,106.89999999999999,0.0,25.975806451612904
Bronx,2012,8,NY CITY CENTRAL PARK,40.7789,-73.9692,28.98709677419355,20.683870967741935,,74.1,0.0,24.835483870967742
Bronx,2012,9,NY CITY CENTRAL PARK,40.7789,-73.9692,24.38,16.523333333333333,,111.6,0.0,20.451666666666668
Bronx,2012,10,NY CITY CENTRAL PARK,40.7789,-73.9692,17.616129032258065,11.325806451612904,,74.4,0.0,14.470967741935485
Bronx,2012,11,NY CITY CENTRAL PARK,40.7789,-73.9692,9.843333333333334,3.3466666666666667,,46.0,119.0,6.595000000000001
Bronx,2012,12,NY CITY CENTRAL PARK,40.7789,-73.9692,7.948387096774193,2.5677419354838706,,122.0,10.0,5.258064516129032
Bronx,2013,1,NY CITY CENTRAL PARK,40.7789,-73.9692,4.906451612903226,-1.4838709677419355,,70.1,38.0,1.711290322580645
Bronx,2013,2,NY CITY CENTRAL PARK,40.7789,-73.9692,4.085714285714286,-1.957142857142857,,108.0,311.0,1.0642857142857145
Bronx,2013,3,NY CITY CENTRAL PARK,40.7789,-73.9692,7.935483870967742,1.103225806451613,,73.5,186.0,4.519354838709678
Bronx,2013,4,NY CITY CENTRAL PARK,40.7789,-73.9692,16.29,7.053333333333333,,33.3,0.0,11.671666666666667
Bronx,2013,5,NY CITY CENTRAL PARK,40.7789,-73.9692,21.774193548387096,12.432258064516128,,203.3,0.0,17.10322580645161
Bronx,2013,6,NY CITY CENTRAL PARK,40.7789,-73.9692,26.833333333333332,18.34,,256.8,0.0,22.586666666666666
Bronx,2013,7,NY CITY CENTRAL PARK,40.7789,-73.9692,30.174193548387095,22.967741935483872,,72.2,0.0,26.570967741935483
Bronx,2013,8,NY CITY CENTRAL PARK,40.7789,-73.9692,27.529032258064515,19.806451612903224,,72.5,0.0,23.667741935483868
Bronx,2013,9,NY CITY CENTRAL PARK,40.7789,-73.9692,24.64333333333333,15.22,,75.0,0.0,19.931666666666665
Bronx,2013,10,NY CITY CENTRAL PARK,40.7789,-73.9692,19.383870967741935,11.938709677419356,,9.200000000000001,0.0,15.661290322580644
Bronx,2013,11,NY CITY CENTRAL PARK,40.7789,-73.9692,11.18,3.5866666666666664,,80.19999999999999,0.0,7.383333333333333
Bronx,2013,12,NY CITY CENTRAL PARK,40.7789,-73.9692,6.929032258064517,0.4161290322580645,,123.2,219.0,3.6725806451612906
Bronx,2014,1,NY CITY CENTRAL PARK,40.7789,-73.9692,1.9387096774193548,-5.603225806451612,,71.0,500.0,-1.8322580645161288
Bronx,2014,2,NY CITY CENTRAL PARK,40.7789,-73.9692,3.0785714285714287,-3.4035714285714285,,139.2,736.0,-0.16249999999999987
Bronx,2014,3,NY CITY CENTRAL PARK,40.7789,-73.9692,7.519354838709678,-1.167741935483871,,93.3,3.0,3.175806451612903
Bronx,2014,4,NY CITY CENTRAL PARK,40.7789,-73.9692,16.233333333333334,6.3566666666666665,,199.4,0.0,11.295
Bronx,2014,5,NY CITY CENTRAL PARK,40.7789,-73.9692,22.51290322580645,13.051612903225807,,111.0,0.0,17.782258064516128
Bronx,2014,6,NY CITY CENTRAL PARK,40.7789,-73.9692,26.90666666666667,18.03666666666667,,108.1,0.0,22.47166666666667
Bronx,2014,7,NY CITY CENTRAL PARK,40.7789,-73.9692,28.596774193548388,20.448387096774194,,142.0,0.0,24.52258064516129
Bronx,2014,8,NY CITY CENTRAL PARK,40.7789,-73.9692,28.029032258064515,19.206451612903226,,57.2,0.0,23.61774193548387
Bronx,2014,9,NY CITY CENTRAL PARK,40.7789,-73.9692,25.16,16.773333333333333,,30.7,0.0,20.96666666666667
Bronx,2014,10,NY CITY CENTRAL PARK,40.7789,-73.9692,18.816129032258065,11.887096774193548,,146.7,0.0,15.351612903225806
Bronx,2014,11,NY CITY CENTRAL PARK,40.7789,-73.9692,10.913333333333334,3.893333333333333,,114.60000000000001,5.0,7.403333333333333
Bronx,2014,12,NY CITY CENTRAL PARK,40.7789,-73.9692,7.296774193548386,2.196774193548387,,153.4,25.0,4.7467741935483865
Bronx,2015,1,NY CITY CENTRAL PARK,40.7789,-73.9692,2.3,-4.583870967741936,,132.7,428.0,-1.1419354838709679
Bronx,2015,2,NY CITY CENTRAL PARK,40.7789,-73.9692,0.07857142857142856,-8.9,,51.9,346.0,-4.410714285714286
Bronx,2015,3,NY CITY CENTRAL PARK,40.7789,-73.9692,7.361290322580645,-0.5419354838709678,,120.1,473.0,3.4096774193548387
Bronx,2015,4,NY CITY CENTRAL PARK,40.7789,-73.9692,17.006666666666668,7.733333333333333,,52.9,0.0,12.370000000000001
Bronx,2015,5,NY CITY CENTRAL PARK,40.7789,-73.9692,25.761290322580646,14.8,,47.2,0.0,20.280645161290323
Bronx,2015,6,NY CITY CENTRAL PARK,40.7789,-73.9692,25.83,17.706666666666667,,121.7,0.0,21.76833333333333
Bronx,2015,7,NY CITY CENTRAL PARK,40.7789,-73.9692,29.948387096774194,22.051612903225806,,100.9,0.0,26.0
Bronx,2015,8,NY CITY CENTRAL PARK,40.7789,-73.9692,30.503225806451614,21.683870967741935,,59.699999999999996,0.0,26.093548387096774
Bronx,2015,9,NY CITY CENTRAL PARK,40.7789,-73.9692,28.13,19.029999999999998,,83.3,0.0,23.58
Bronx,2015,10,NY CITY CENTRAL PARK,40.7789,-73.9692,18.567741935483873,10.37741935483871,,99.4,0.0,14.47258064516129
Bronx,2015,11,NY CITY CENTRAL PARK,40.7789,-73.9692,15.176666666666668,7.916666666666667,,51.199999999999996,0.0,11.546666666666667
Bronx,2015,12,NY CITY CENTRAL PARK,40.7789,-73.9692,13.5,7.374193548387097,,120.0,0.0,10.437096774193549
Bronx,2016,1,NY CITY CENTRAL PARK,40.7789,-73.9692,4.893548387096774,-2.0935483870967744,,112.10000000000001,708.0,1.4
Bronx,2016,2,NY CITY CENTRAL PARK,40.7789,-73.9692,7.137931034482759,-0.7310344827586208,,112.0,103.0,3.203448275862069
Bronx,2016,3,NY CITY CENTRAL PARK,40.7789,-73.9692,14.109677419354838,4.65483870967742,,29.8,23.0,9.38225806451613
Bronx,2016,4,NY CITY CENTRAL PARK,40.7789,-73.9692,16.796666666666667,6.913333333333333,,41.099999999999994,0.0,11.855
Bronx,2016,5,NY CITY CENTRAL PARK,40.7789,-73.9692,21.45483870967742,12.758064516129032,,95.4,0.0,17.10645161290323
Bronx,2016,6,NY CITY CENTRAL PARK,40.7789,-73.9692,27.176666666666666,17.529999999999998,,66.0,0.0,22.35333333333333
Bronx,2016,7,NY CITY CENTRAL PARK,40.7789,-73.9692,30.141935483870967,21.725806451612904,,178.3,0.0,25.933870967741935
Bronx,2016,8,NY CITY CENTRAL PARK,40.7789,-73.9692,30.325806451612905,22.1,,50.2,0.0,26.212903225806453
Bronx,2016,9,NY CITY CENTRAL PARK,40.7789,-73.9692,26.133333333333333,18.09,,71.0,0.0,22.111666666666665
Bronx,2016,10,NY CITY CENTRAL PARK,40.7789,-73.9692,18.76451612903226,10.96774193548387,,105.39999999999999,0.0,14.866129032258065
Bronx,2016,11,NY CITY CENTRAL PARK,40.7789,-73.9692,13.663333333333332,6.066666666666666,,137.5,0.0,9.864999999999998
Bronx,2016,12,NY CITY CENTRAL PARK,40.7789,-73.9692,6.596774193548387,0.48387096774193555,,73.39999999999999,81.0,3.5403225806451615
Bronx,2017,1,NY CITY CENTRAL PARK,40.7789,-73.9692,5.977419354838709,0.7483870967741936,,122.6,200.0,3.362903225806451
Bronx,2017,2,NY CITY CENTRAL PARK,40.7789,-73.9692,9.282142857142857,1.4535714285714287,,63.099999999999994,239.0,5.367857142857143
Bronx,2017,3,NY CITY CENTRAL PARK,40.7789,-73.9692,8.22258064516129,-0.1774193548387097,,133.4,246.0,4.02258064516129
Bronx,2017,4,NY CITY CENTRAL PARK,40.7789,-73.9692,18.273333333333333,9.656666666666666,,97.5,0.0,13.965
Bronx,2017,5,NY CITY CENTRAL PARK,40.7789,-73.9692,20.09032258064516,12.216129032258063,,162.1,0.0,16.153225806451612
Bronx,2017,6,NY CITY CENTRAL PARK,40.7789,-73.9692,26.263333333333332,18.153333333333332,,121.09999999999998,0.0,22.208333333333332
Bronx,2017,7,NY CITY CENTRAL PARK,40.7789,-73.9692,28.738709677419354,21.006451612903227,,106.4,0.0,24.872580645161293
Bronx,2017,8,NY CITY CENTRAL PARK,40.7789,-73.9692,27.193548387096776,19.529032258064515,,84.89999999999999,0.0,23.361290322580643
Bronx,2017,9,NY CITY CENTRAL PARK,40.7789,-73.9692,25.433333333333334,17.376666666666665,,50.9,0.0,21.405
Bronx,2017,10,NY CITY CENTRAL PARK,40.7789,-73.9692,21.787096774193547,13.906451612903227,,106.30000000000001,0.0,17.846774193548388
Bronx,2017,11,NY CITY CENTRAL PARK,40.7789,-73.9692,12.29,3.9766666666666666,,40.2,0.0,8.133333333333333
Bronx,2017,12,NY CITY CENTRAL PARK,40.7789,-73.9692,4.474193548387096,-1.0354838709677419,,56.2,195.0,1.7193548387096773
Bronx,2018,1,NY CITY CENTRAL PARK,40.7789,-73.9692,3.7193548387096773,-3.9741935483870967,,55.4,285.0,-0.1274193548387097
Bronx,2018,2,NY CITY CENTRAL PARK,40.7789,-73.9692,9.785714285714286,1.4142857142857144,,148.0,125.0,5.6000000000000005
Bronx,2018,3,NY CITY CENTRAL PARK,40.7789,-73.9692,7.970967741935484,1.1064516129032258,,131.4,294.0,4.538709677419355
Bronx,2018,4,NY CITY CENTRAL PARK,40.7789,-73.9692,13.946666666666665,5.453333333333333,,146.7,140.0,9.7
Bronx,2018,5,NY CITY CENTRAL PARK,40.7789,-73.9692,24.15806451612903,14.59032258064516,,89.7,0.0,19.374193548387098
Bronx,2018,6,NY CITY CENTRAL PARK,40.7789,-73.9692,26.470000000000002,17.59,,79.1,0.0,22.03
Bronx,2018,7,NY CITY CENTRAL PARK,40.7789,-73.9692,29.374193548387098,21.325806451612905,,189.2,0.0,25.35
Bronx,2018,8,NY CITY CENTRAL PARK,40.7789,-73.9692,29.029032258064515,22.216129032258067,,218.4,0.0,25.622580645161293
Bronx,2018,9,NY CITY CENTRAL PARK,40.7789,-73.9692,24.573333333333334,18.446666666666665,,157.1,0.0,21.509999999999998
Bronx,2018,10,NY CITY CENTRAL PARK,40.7789,-73.9692,17.493548387096773,11.041935483870969,,91.2,0.0,14.26774193548387
Bronx,2018,11,NY CITY CENTRAL PARK,40.7789,-73.9692,9.853333333333333,3.9233333333333333,,193.70000000000002,163.0,6.888333333333334
Bronx,2018,12,NY CITY CENTRAL PARK,40.7789,-73.9692,7.470967741935484,1.5806451612903225,,165.4,0.0,4.525806451612903
Bronx,2019,1,NY CITY CENTRAL PARK,40.7789,-73.9692,3.9129032258064513,-3.267741935483871,,90.99999999999999,28.0,0.32258064516129026
Bronx,2019,2,NY CITY CENTRAL PARK,40.7789,-73.9692,5.921428571428572,-1.167857142857143,,79.8,66.0,2.3767857142857145
Bronx,2019,3,NY CITY CENTRAL PARK,40.7789,-73.9692,9.287096774193548,1.5516129032258066,,98.4,265.0,5.419354838709678
Bronx,2019,4,NY CITY CENTRAL PARK,40.7789,-73.9692,17.4,8.673333333333334,,115.9,0.0,13.036666666666665
Bronx,2019,5,NY CITY CENTRAL PARK,40.7789,-73.9692,21.07741935483871,12.44516129032258,,173.2,0.0,16.761290322580646
Bronx,2019,6,NY CITY CENTRAL PARK,40.7789,-73.9692,26.09333333333333,17.959999999999997,,138.5,0.0,22.026666666666664
Bronx,2019,7,NY CITY CENTRAL PARK,40.7789,-73.9692,30.606451612903225,22.238709677419354,,146.70000000000002,0.0,26.42258064516129
Bronx,2019,8,NY CITY CENTRAL PARK,40.7789,-73.9692,28.07741935483871,20.251612903225805,,94.0,0.0,24.164516129032258
Bronx,2019,9,NY CITY CENTRAL PARK,40.7789,-73.9692,25.573333333333334,17.046666666666667,,24.099999999999998,0.0,21.310000000000002
Bronx,2019,10,NY CITY CENTRAL PARK,40.7789,-73.9692,19.02258064516129,11.993548387096775,,156.4,0.0,15.508064516129032
Bronx,2019,11,NY CITY CENTRAL PARK,40.7789,-73.9692,10.34,2.8766666666666665,,49.599999999999994,0.0,6.608333333333333
Bronx,2019,12,NY CITY CENTRAL PARK,40.7789,-73.9692,6.383870967741935,0.667741935483871,,180.2,64.0,3.5258064516129033
Bronx,2020,1,NY CITY CENTRAL PARK,40.7789,-73.9692,7.354838709677419,0.6290322580645161,,49.1,58.0,3.9919354838709675
Bronx,2020,2,NY CITY CENTRAL PARK,40.7789,-73.9692,8.055172413793104,1.0172413793103448,,64.7,0.0,4.536206896551724
Bronx,2020,3,NY CITY CENTRAL PARK,40.7789,-73.9692,12.841935483870968,4.922580645161291,,96.10000000000001,0.0,8.88225806451613
Bronx,2020,4,NY CITY CENTRAL PARK,40.7789,-73.9692,14.273333333333333,6.1033333333333335,,114.19999999999999,0.0,10.188333333333333
Bronx,2020,5,NY CITY CENTRAL PARK,40.7789,-73.9692,20.661290322580644,10.770967741935483,,42.0,0.0,15.716129032258063
Bronx,2020,6,NY CITY CENTRAL PARK,40.7789,-73.9692,27.67,18.663333333333334,,44.7,0.0,23.166666666666668
Bronx,2020,7,NY CITY CENTRAL PARK,40.7789,-73.9692,30.79032258064516,22.57741935483871,,167.1,0.0,26.683870967741935
Bronx,2020,8,NY CITY CENTRAL PARK,40.7789,-73.9692,28.758064516129032,21.093548387096774,,127.9,0.0,24.925806451612903
Bronx,2020,9,NY CITY CENTRAL PARK,40.7789,-73.9692,24.16,16.69,,100.1,0.0,20.425
Bronx,2020,10,NY CITY CENTRAL PARK,40.7789,-73.9692,17.725806451612904,11.03225806451613,,128.3,0.0,14.379032258064516
Bronx,2020,11,NY CITY CENTRAL PARK,40.7789,-73.9692,15.46,7.820000000000001,,101.4,0.0,11.64
Bronx,2020,12,NY CITY CENTRAL PARK,40.7789,-73.9692,7.270967741935484,0.7838709677419357,,117.19999999999999,267.0,4.02741935483871
Bronx,2021,1,NY CITY CENTRAL PARK,40.7789,-73.9692,4.270967741935484,-1.1483870967741936,,58.599999999999994,54.0,1.5612903225806454
Bronx,2021,2,NY CITY CENTRAL PARK,40.7789,-73.9692,3.867857142857143,-1.3857142857142857,,130.4,659.0,1.2410714285714286
Bronx,2021,3,NY CITY CENTRAL PARK,40.7789,-73.9692,12.293548387096775,3.0999999999999996,,86.69999999999999,0.0,7.6967741935483875
Bronx,2021,4,NY CITY CENTRAL PARK,40.7789,-73.9692,17.60666666666667,7.48,,68.5,0.0,12.543333333333335
Bronx,2021,5,NY CITY CENTRAL PARK,40.7789,-73.9692,22.083870967741937,12.225806451612904,,110.8,0.0,17.15483870967742
Bronx,2021,6,NY CITY CENTRAL PARK,40.7789,-73.9692,28.05666666666667,18.89333333333333,,66.7,0.0,23.475
Bronx,2021,7,NY CITY CENTRAL PARK,40.7789,-73.9692,28.351612903225806,20.57741935483871,,281.9,0.0,24.46451612903226
Bronx,2021,8,NY CITY CENTRAL PARK,40.7789,-73.9692,28.809677419354838,21.796774193548387,,262.09999999999997,0.0,25.303225806451614
Bronx,2021,9,NY CITY CENTRAL PARK,40.7789,-73.9692,24.78666666666667,17.759999999999998,,254.79999999999998,0.0,21.273333333333333
Bronx,2021,10,NY CITY CENTRAL PARK,40.7789,-73.9692,19.925806451612903,13.406451612903227,,133.7,0.0,16.666129032258066
Bronx,2021,11,NY CITY CENTRAL PARK,40.7789,-73.9692,11.536666666666667,4.286666666666666,,28.6,0.0,7.911666666666667
Bronx,2021,12,NY CITY CENTRAL PARK,40.7789,-73.9692,9.587096774193547,3.487096774193548,,35.4,5.0,6.5370967741935475
Bronx,2022,1,NY CITY CENTRAL PARK,40.7789,-73.9692,2.8548387096774195,-4.612903225806452,,109.0,387.0,-0.8790322580645162
Bronx,2022,2,NY CITY CENTRAL PARK,40.7789,-73.9692,7.6499999999999995,-1.6535714285714287,,82.1,51.0,2.9982142857142855
Bronx,2022,3,NY CITY CENTRAL PARK,40.7789,-73.9692,11.990322580645161,2.8096774193548386,,60.699999999999996,10.0,7.4
Bronx,2022,4,NY CITY CENTRAL PARK,40.7789,-73.9692,15.81,7.243333333333334,,115.0,0.0,11.526666666666667
Bronx,2022,5,NY CITY CENTRAL PARK,40.7789,-73.9692,22.25483870967742,13.332258064516129,,114.8,0.0,17.793548387096774
Bronx,2022,6,NY CITY CENTRAL PARK,40.7789,-73.9692,26.09,17.67,,74.1,0.0,21.880000000000003
Bronx,2022,7,NY CITY CENTRAL PARK,40.7789,-73.9692,30.72258064516129,22.106451612903225,,115.6,0.0,26.414516129032258
Bronx,2022,8,NY CITY CENTRAL PARK,40.7789,-73.9692,30.5,22.080645161290324,,43.4,0.0,26.29032258064516
Bronx,2022,9,NY CITY CENTRAL PARK,40.7789,-73.9692,24.923333333333336,16.779999999999998,,104.1,0.0,20.851666666666667
